"Time","dl_brate {pci=""1"", rnti=""4601"", testbed=""default""}"
2025-04-09 13:14:47,8.112 Mb/s
2025-04-09 13:14:48,11.249 Mb/s
2025-04-09 13:14:49,15.138 Mb/s
2025-04-09 13:14:50,18.767 Mb/s
2025-04-09 13:14:51,18.961 Mb/s
2025-04-09 13:14:52,16.950 Mb/s
2025-04-09 13:14:53,12.437 Mb/s
2025-04-09 13:14:54,12.311 Mb/s
2025-04-09 13:14:55,12.268 Mb/s
2025-04-09 13:14:56,12.325 Mb/s
2025-04-09 13:14:57,12.537 Mb/s
2025-04-09 13:14:58,12.318 Mb/s
2025-04-09 13:14:59,11.736 Mb/s
2025-04-09 13:15:00,12.226 Mb/s
2025-04-09 13:15:01,11.408 Mb/s
2025-04-09 13:15:02,11.241 Mb/s
2025-04-09 13:15:03,11.655 Mb/s
2025-04-09 13:15:04,11.833 Mb/s
2025-04-09 13:15:05,11.822 Mb/s
2025-04-09 13:15:06,6.618 Mb/s
2025-04-09 13:15:07,2.233 Mb/s
2025-04-09 13:15:08,3.850 Mb/s
2025-04-09 13:15:09,6.314 Mb/s
2025-04-09 13:15:10,9.404 Mb/s
2025-04-09 13:15:11,11.277 Mb/s
2025-04-09 13:15:12,6.068 Mb/s
2025-04-09 13:15:13,1.807 Mb/s
2025-04-09 13:15:14,1.846 Mb/s
2025-04-09 13:15:15,2.878 Mb/s
2025-04-09 13:15:16,4.919 Mb/s
2025-04-09 13:15:17,2.696 Mb/s
2025-04-09 13:15:18,1.994 Mb/s
2025-04-09 13:15:19,3.131 Mb/s
2025-04-09 13:15:20,5.355 Mb/s
2025-04-09 13:15:21,2.214 Mb/s
2025-04-09 13:15:22,2.552 Mb/s
2025-04-09 13:15:23,4.611 Mb/s
2025-04-09 13:15:24,5.103 Mb/s
2025-04-09 13:15:25,5.341 Mb/s
2025-04-09 13:15:26,8.182 Mb/s
2025-04-09 13:15:27,11.305 Mb/s
2025-04-09 13:15:28,5.078 Mb/s
2025-04-09 13:15:29,3.840 Mb/s
2025-04-09 13:15:30,6.297 Mb/s
2025-04-09 13:15:31,4.315 Mb/s
2025-04-09 13:15:32,2.145 Mb/s
2025-04-09 13:15:33,3.700 Mb/s
2025-04-09 13:15:34,6.031 Mb/s
2025-04-09 13:15:35,9.192 Mb/s
2025-04-09 13:15:36,4.030 Mb/s
2025-04-09 13:15:37,5.928 Mb/s
2025-04-09 13:15:38,9.034 Mb/s
2025-04-09 13:15:39,11.980 Mb/s
2025-04-09 13:15:40,16.431 Mb/s
2025-04-09 13:15:41,15.798 Mb/s
2025-04-09 13:15:42,3.315 Mb/s
2025-04-09 13:15:43,5.624 Mb/s
2025-04-09 13:15:44,8.530 Mb/s
2025-04-09 13:15:45,11.587 Mb/s
2025-04-09 13:15:46,15.632 Mb/s
2025-04-09 13:15:47,18.961 Mb/s
2025-04-09 13:15:48,12.043 Mb/s
2025-04-09 13:15:49,3.300 Mb/s
2025-04-09 13:15:50,5.645 Mb/s
2025-04-09 13:15:51,6.035 Mb/s
2025-04-09 13:15:52,5.644 Mb/s
2025-04-09 13:15:53,7.014 Mb/s
2025-04-09 13:15:54,3.619 Mb/s
2025-04-09 13:15:55,4.891 Mb/s
2025-04-09 13:15:56,7.472 Mb/s
2025-04-09 13:15:57,9.800 Mb/s
2025-04-09 13:15:58,13.119 Mb/s
2025-04-09 13:15:59,17.552 Mb/s
2025-04-09 13:16:00,18.961 Mb/s
2025-04-09 13:16:01,18.807 Mb/s
2025-04-09 13:16:02,18.774 Mb/s
2025-04-09 13:16:03,13.479 Mb/s
2025-04-09 13:16:04,1.871 Mb/s
2025-04-09 13:16:05,2.253 Mb/s
2025-04-09 13:16:06,3.362 Mb/s
2025-04-09 13:16:07,2.433 Mb/s
2025-04-09 13:16:08,1.937 Mb/s
2025-04-09 13:16:09,2.481 Mb/s
2025-04-09 13:16:10,1.648 Mb/s
2025-04-09 13:16:11,1.902 Mb/s
2025-04-09 13:16:12,1.801 Mb/s
2025-04-09 13:16:13,2.350 Mb/s
2025-04-09 13:16:14,1.959 Mb/s
2025-04-09 13:16:15,2.635 Mb/s
2025-04-09 13:16:16,2.046 Mb/s
2025-04-09 13:16:17,2.012 Mb/s
2025-04-09 13:16:18,2.091 Mb/s
2025-04-09 13:16:19,1.679 Mb/s
2025-04-09 13:16:20,2.059 Mb/s
2025-04-09 13:16:21,1.560 Mb/s
2025-04-09 13:16:22,2.127 Mb/s
2025-04-09 13:16:23,2.298 Mb/s
2025-04-09 13:16:24,2.288 Mb/s
2025-04-09 13:16:25,2.031 Mb/s
2025-04-09 13:16:26,1.689 Mb/s
2025-04-09 13:16:27,1.988 Mb/s
2025-04-09 13:16:28,2.163 Mb/s
2025-04-09 13:16:29,1.839 Mb/s
2025-04-09 13:16:30,2.126 Mb/s
2025-04-09 13:16:31,1.785 Mb/s
2025-04-09 13:16:32,2.101 Mb/s
2025-04-09 13:16:33,1.943 Mb/s
2025-04-09 13:16:34,1.842 Mb/s
2025-04-09 13:16:35,1.896 Mb/s
2025-04-09 13:16:36,2.178 Mb/s
2025-04-09 13:16:37,1.917 Mb/s
2025-04-09 13:16:38,1.685 Mb/s
2025-04-09 13:16:39,2.795 Mb/s
2025-04-09 13:16:40,4.564 Mb/s
2025-04-09 13:16:41,4.242 Mb/s
