"Time","dl_brate {pci=""1"", rnti=""4601"", testbed=""default""}"
2025-05-07 14:03:15,9.737 Mb/s
2025-05-07 14:03:16,10.078 Mb/s
2025-05-07 14:03:17,10.434 Mb/s
2025-05-07 14:03:18,10.497 Mb/s
2025-05-07 14:03:19,8.799 Mb/s
2025-05-07 14:03:20,8.541 Mb/s
2025-05-07 14:03:21,9.099 Mb/s
2025-05-07 14:03:22,10.134 Mb/s
2025-05-07 14:03:23,10.029 Mb/s
2025-05-07 14:03:24,9.609 Mb/s
2025-05-07 14:03:25,9.912 Mb/s
2025-05-07 14:03:26,9.955 Mb/s
2025-05-07 14:03:27,10.476 Mb/s
2025-05-07 14:03:28,10.455 Mb/s
2025-05-07 14:03:29,9.914 Mb/s
2025-05-07 14:03:30,9.680 Mb/s
2025-05-07 14:03:31,9.546 Mb/s
2025-05-07 14:03:32,10.457 Mb/s
2025-05-07 14:03:33,10.588 Mb/s
2025-05-07 14:03:34,9.890 Mb/s
2025-05-07 14:03:35,9.839 Mb/s
2025-05-07 14:03:36,9.716 Mb/s
2025-05-07 14:03:37,10.517 Mb/s
2025-05-07 14:03:38,10.535 Mb/s
2025-05-07 14:03:39,9.701 Mb/s
2025-05-07 14:03:40,9.846 Mb/s
2025-05-07 14:03:41,9.818 Mb/s
2025-05-07 14:03:42,10.522 Mb/s
2025-05-07 14:03:43,10.511 Mb/s
2025-05-07 14:03:44,9.777 Mb/s
2025-05-07 14:03:45,9.786 Mb/s
2025-05-07 14:03:46,9.737 Mb/s
2025-05-07 14:03:47,10.567 Mb/s
2025-05-07 14:03:48,10.646 Mb/s
2025-05-07 14:03:49,9.719 Mb/s
2025-05-07 14:03:50,9.737 Mb/s
2025-05-07 14:03:51,9.799 Mb/s
2025-05-07 14:03:52,10.651 Mb/s
2025-05-07 14:03:53,10.377 Mb/s
2025-05-07 14:03:54,9.723 Mb/s
2025-05-07 14:03:55,9.671 Mb/s
2025-05-07 14:03:56,9.791 Mb/s
2025-05-07 14:03:57,10.584 Mb/s
2025-05-07 14:03:58,10.502 Mb/s
2025-05-07 14:03:59,9.797 Mb/s
2025-05-07 14:04:00,9.662 Mb/s
2025-05-07 14:04:01,9.920 Mb/s
2025-05-07 14:04:02,10.624 Mb/s
2025-05-07 14:04:03,10.552 Mb/s
2025-05-07 14:04:04,9.755 Mb/s
2025-05-07 14:04:05,9.845 Mb/s
2025-05-07 14:04:06,9.646 Mb/s
2025-05-07 14:04:07,10.560 Mb/s
2025-05-07 14:04:08,10.625 Mb/s
2025-05-07 14:04:09,9.835 Mb/s
2025-05-07 14:04:10,9.758 Mb/s
2025-05-07 14:04:11,9.898 Mb/s
2025-05-07 14:04:12,10.682 Mb/s
2025-05-07 14:04:13,10.599 Mb/s
2025-05-07 14:04:14,9.786 Mb/s
2025-05-07 14:04:15,9.852 Mb/s
2025-05-07 14:04:16,9.801 Mb/s
2025-05-07 14:04:17,10.588 Mb/s
2025-05-07 14:04:18,10.569 Mb/s
2025-05-07 14:04:19,9.889 Mb/s
2025-05-07 14:04:20,9.868 Mb/s
2025-05-07 14:04:21,9.789 Mb/s
2025-05-07 14:04:22,10.684 Mb/s
2025-05-07 14:04:23,10.675 Mb/s
2025-05-07 14:04:24,9.753 Mb/s
2025-05-07 14:04:25,9.694 Mb/s
2025-05-07 14:04:26,9.619 Mb/s
2025-05-07 14:04:27,10.526 Mb/s
2025-05-07 14:04:28,10.554 Mb/s
2025-05-07 14:04:29,9.842 Mb/s
2025-05-07 14:04:30,9.609 Mb/s
2025-05-07 14:04:31,9.740 Mb/s
2025-05-07 14:04:32,10.544 Mb/s
2025-05-07 14:04:33,10.684 Mb/s
2025-05-07 14:04:34,9.966 Mb/s
2025-05-07 14:04:35,7.927 Mb/s
2025-05-07 14:04:36,8.980 Mb/s
2025-05-07 14:04:37,10.389 Mb/s
2025-05-07 14:04:38,10.130 Mb/s
2025-05-07 14:04:39,9.899 Mb/s
2025-05-07 14:04:40,9.883 Mb/s
2025-05-07 14:04:41,9.641 Mb/s
2025-05-07 14:04:42,10.498 Mb/s
2025-05-07 14:04:43,10.663 Mb/s
2025-05-07 14:04:44,9.988 Mb/s
2025-05-07 14:04:45,9.674 Mb/s
2025-05-07 14:04:46,9.273 Mb/s
2025-05-07 14:04:47,10.539 Mb/s
2025-05-07 14:04:48,10.574 Mb/s
2025-05-07 14:04:49,10.087 Mb/s
2025-05-07 14:04:50,9.963 Mb/s
2025-05-07 14:04:51,9.945 Mb/s
2025-05-07 14:04:52,10.543 Mb/s
2025-05-07 14:04:53,10.595 Mb/s
2025-05-07 14:04:54,9.949 Mb/s
2025-05-07 14:04:55,9.711 Mb/s
2025-05-07 14:04:56,9.972 Mb/s
2025-05-07 14:04:57,10.555 Mb/s
2025-05-07 14:04:58,10.541 Mb/s
2025-05-07 14:04:59,9.925 Mb/s
2025-05-07 14:05:00,9.771 Mb/s
2025-05-07 14:05:01,9.820 Mb/s
2025-05-07 14:05:02,10.504 Mb/s
2025-05-07 14:05:03,10.441 Mb/s
2025-05-07 14:05:04,9.883 Mb/s
2025-05-07 14:05:05,10.038 Mb/s
2025-05-07 14:05:06,9.962 Mb/s
2025-05-07 14:05:07,10.542 Mb/s
2025-05-07 14:05:08,10.532 Mb/s
2025-05-07 14:05:09,10.044 Mb/s
2025-05-07 14:05:10,10.001 Mb/s
2025-05-07 14:05:11,9.844 Mb/s
2025-05-07 14:05:12,10.546 Mb/s
2025-05-07 14:05:13,10.519 Mb/s
2025-05-07 14:05:14,10.012 Mb/s
2025-05-07 14:05:15,9.981 Mb/s
2025-05-07 14:05:16,9.878 Mb/s
2025-05-07 14:05:17,10.598 Mb/s
2025-05-07 14:05:18,10.480 Mb/s
2025-05-07 14:05:19,10.064 Mb/s
2025-05-07 14:05:20,9.902 Mb/s
2025-05-07 14:05:21,9.936 Mb/s
2025-05-07 14:05:22,10.541 Mb/s
2025-05-07 14:05:23,10.609 Mb/s
2025-05-07 14:05:24,9.946 Mb/s
2025-05-07 14:05:25,8.798 Mb/s
2025-05-07 14:05:26,8.692 Mb/s
2025-05-07 14:05:27,10.029 Mb/s
2025-05-07 14:05:28,10.556 Mb/s
2025-05-07 14:05:29,10.047 Mb/s
2025-05-07 14:05:30,9.875 Mb/s
2025-05-07 14:05:31,9.854 Mb/s
2025-05-07 14:05:32,10.401 Mb/s
2025-05-07 14:05:33,10.320 Mb/s
2025-05-07 14:05:34,9.763 Mb/s
2025-05-07 14:05:35,9.698 Mb/s
2025-05-07 14:05:36,9.894 Mb/s
2025-05-07 14:05:37,10.496 Mb/s
2025-05-07 14:05:38,10.560 Mb/s
2025-05-07 14:05:39,10.047 Mb/s
2025-05-07 14:05:40,9.966 Mb/s
2025-05-07 14:05:41,9.877 Mb/s
2025-05-07 14:05:42,10.511 Mb/s
2025-05-07 14:05:43,10.425 Mb/s
2025-05-07 14:05:44,9.896 Mb/s
2025-05-07 14:05:45,9.841 Mb/s
2025-05-07 14:05:46,9.931 Mb/s
2025-05-07 14:05:47,10.475 Mb/s
2025-05-07 14:05:48,10.433 Mb/s
2025-05-07 14:05:49,9.477 Mb/s
2025-05-07 14:05:50,9.915 Mb/s
2025-05-07 14:05:51,10.057 Mb/s
2025-05-07 14:05:52,10.466 Mb/s
2025-05-07 14:05:53,10.545 Mb/s
2025-05-07 14:05:54,10.021 Mb/s
2025-05-07 14:05:55,8.906 Mb/s
2025-05-07 14:05:56,8.643 Mb/s
2025-05-07 14:05:57,9.680 Mb/s
2025-05-07 14:05:58,10.423 Mb/s
2025-05-07 14:05:59,10.127 Mb/s
2025-05-07 14:06:00,9.975 Mb/s
2025-05-07 14:06:01,9.931 Mb/s
2025-05-07 14:06:02,10.509 Mb/s
2025-05-07 14:06:03,10.666 Mb/s
2025-05-07 14:06:04,10.147 Mb/s
2025-05-07 14:06:05,10.026 Mb/s
2025-05-07 14:06:06,9.629 Mb/s
2025-05-07 14:06:07,10.447 Mb/s
2025-05-07 14:06:08,10.477 Mb/s
2025-05-07 14:06:09,10.092 Mb/s
2025-05-07 14:06:10,10.041 Mb/s
2025-05-07 14:06:11,9.929 Mb/s
2025-05-07 14:06:12,10.499 Mb/s
2025-05-07 14:06:13,10.635 Mb/s
2025-05-07 14:06:14,10.120 Mb/s
2025-05-07 14:06:15,9.957 Mb/s
2025-05-07 14:06:16,9.883 Mb/s
2025-05-07 14:06:17,10.350 Mb/s
2025-05-07 14:06:18,10.541 Mb/s
2025-05-07 14:06:19,9.686 Mb/s
2025-05-07 14:06:20,9.025 Mb/s
2025-05-07 14:06:21,9.745 Mb/s
2025-05-07 14:06:22,10.460 Mb/s
2025-05-07 14:06:23,10.556 Mb/s
2025-05-07 14:06:24,9.742 Mb/s
2025-05-07 14:06:25,9.911 Mb/s
2025-05-07 14:06:26,9.973 Mb/s
2025-05-07 14:06:27,10.476 Mb/s
2025-05-07 14:06:28,10.596 Mb/s
2025-05-07 14:06:29,10.198 Mb/s
2025-05-07 14:06:30,9.915 Mb/s
2025-05-07 14:06:31,9.951 Mb/s
2025-05-07 14:06:32,10.348 Mb/s
2025-05-07 14:06:33,10.476 Mb/s
2025-05-07 14:06:34,10.091 Mb/s
2025-05-07 14:06:35,9.791 Mb/s
2025-05-07 14:06:36,9.886 Mb/s
2025-05-07 14:06:37,10.408 Mb/s
2025-05-07 14:06:38,10.580 Mb/s
2025-05-07 14:06:39,10.148 Mb/s
2025-05-07 14:06:40,9.958 Mb/s
2025-05-07 14:06:41,9.871 Mb/s
2025-05-07 14:06:42,10.332 Mb/s
2025-05-07 14:06:43,10.622 Mb/s
2025-05-07 14:06:44,10.079 Mb/s
