"Time","dl_brate {pci=""1"", rnti=""4606"", testbed=""default""}"
2025-04-09 12:38:05,99.680 kb/s
2025-04-09 12:38:06,7.856 Mb/s
2025-04-09 12:38:07,3.139 Mb/s
2025-04-09 12:38:08,1.674 Mb/s
2025-04-09 12:38:09,2.165 Mb/s
2025-04-09 12:38:10,3.754 Mb/s
2025-04-09 12:38:11,5.524 Mb/s
2025-04-09 12:38:12,5.389 Mb/s
2025-04-09 12:38:13,6.680 Mb/s
2025-04-09 12:38:14,8.146 Mb/s
2025-04-09 12:38:15,11.274 Mb/s
2025-04-09 12:38:16,12.023 Mb/s
2025-04-09 12:38:17,1.422 Mb/s
2025-04-09 12:38:18,2.140 Mb/s
2025-04-09 12:38:19,1.210 Mb/s
2025-04-09 12:38:20,1.208 Mb/s
2025-04-09 12:38:21,1.321 Mb/s
2025-04-09 12:38:22,1.784 Mb/s
2025-04-09 12:38:23,1.953 Mb/s
2025-04-09 12:38:24,5.776 Mb/s
2025-04-09 12:38:25,8.776 Mb/s
2025-04-09 12:38:26,11.781 Mb/s
2025-04-09 12:38:27,16.028 Mb/s
2025-04-09 12:38:28,15.575 Mb/s
2025-04-09 12:38:29,5.308 Mb/s
2025-04-09 12:38:30,3.050 Mb/s
2025-04-09 12:38:31,4.013 Mb/s
2025-04-09 12:38:32,6.632 Mb/s
2025-04-09 12:38:33,9.633 Mb/s
2025-04-09 12:38:34,3.006 Mb/s
2025-04-09 12:38:35,2.181 Mb/s
2025-04-09 12:38:36,3.186 Mb/s
2025-04-09 12:38:37,1.478 Mb/s
2025-04-09 12:38:38,2.145 Mb/s
2025-04-09 12:38:39,3.701 Mb/s
2025-04-09 12:38:40,6.033 Mb/s
2025-04-09 12:38:41,9.188 Mb/s
2025-04-09 12:38:42,12.109 Mb/s
2025-04-09 12:38:43,16.677 Mb/s
2025-04-09 12:38:44,18.961 Mb/s
2025-04-09 12:38:45,18.961 Mb/s
2025-04-09 12:38:46,18.958 Mb/s
2025-04-09 12:38:47,18.961 Mb/s
2025-04-09 12:38:48,18.961 Mb/s
2025-04-09 12:38:49,18.792 Mb/s
2025-04-09 12:38:50,15.572 Mb/s
2025-04-09 12:38:51,5.068 Mb/s
2025-04-09 12:38:52,6.543 Mb/s
2025-04-09 12:38:53,3.646 Mb/s
2025-04-09 12:38:54,498.312 kb/s
2025-04-09 12:38:55,1.230 Mb/s
2025-04-09 12:38:56,2.202 Mb/s
2025-04-09 12:38:57,4.366 Mb/s
2025-04-09 12:38:58,1.904 Mb/s
2025-04-09 12:38:59,1.689 Mb/s
2025-04-09 12:39:00,2.388 Mb/s
2025-04-09 12:39:01,744.816 kb/s
2025-04-09 12:39:02,1.420 Mb/s
2025-04-09 12:39:03,246.624 kb/s
2025-04-09 12:39:04,2.120 Mb/s
2025-04-09 12:39:05,1.736 Mb/s
2025-04-09 12:39:06,1.690 Mb/s
2025-04-09 12:39:07,2.277 Mb/s
2025-04-09 12:39:08,3.064 Mb/s
2025-04-09 12:39:09,3.306 Mb/s
2025-04-09 12:39:10,3.666 Mb/s
2025-04-09 12:39:11,1.079 Mb/s
2025-04-09 12:39:12,1.316 Mb/s
2025-04-09 12:39:13,1.421 Mb/s
2025-04-09 12:39:14,1.053 Mb/s
2025-04-09 12:39:15,1.528 Mb/s
2025-04-09 12:39:16,1.890 Mb/s
2025-04-09 12:39:17,2.633 Mb/s
2025-04-09 12:39:18,3.584 Mb/s
2025-04-09 12:39:19,4.549 Mb/s
2025-04-09 12:39:20,5.807 Mb/s
2025-04-09 12:39:21,6.684 Mb/s
2025-04-09 12:39:22,8.131 Mb/s
2025-04-09 12:39:23,9.738 Mb/s
2025-04-09 12:39:24,11.287 Mb/s
2025-04-09 12:39:25,11.413 Mb/s
2025-04-09 12:39:26,11.421 Mb/s
2025-04-09 12:39:27,11.416 Mb/s
2025-04-09 12:39:28,11.418 Mb/s
2025-04-09 12:39:29,13.874 Mb/s
2025-04-09 12:39:30,18.961 Mb/s
2025-04-09 12:39:31,18.961 Mb/s
2025-04-09 12:39:32,18.961 Mb/s
2025-04-09 12:39:33,10.048 Mb/s
2025-04-09 12:39:34,2.242 Mb/s
2025-04-09 12:39:35,2.099 Mb/s
2025-04-09 12:39:36,862.552 kb/s
2025-04-09 12:39:37,912.504 kb/s
2025-04-09 12:39:38,1.098 Mb/s
2025-04-09 12:39:39,1.399 Mb/s
2025-04-09 12:39:40,1.929 Mb/s
2025-04-09 12:39:41,2.434 Mb/s
2025-04-09 12:39:42,3.919 Mb/s
2025-04-09 12:39:43,5.067 Mb/s
2025-04-09 12:39:44,6.313 Mb/s
2025-04-09 12:39:45,7.239 Mb/s
2025-04-09 12:39:46,8.702 Mb/s
2025-04-09 12:39:47,10.683 Mb/s
2025-04-09 12:39:48,13.868 Mb/s
2025-04-09 12:39:49,15.956 Mb/s
2025-04-09 12:39:50,18.961 Mb/s
2025-04-09 12:39:51,18.961 Mb/s
2025-04-09 12:39:52,18.961 Mb/s
2025-04-09 12:39:53,14.597 Mb/s
2025-04-09 12:39:54,14.687 Mb/s
2025-04-09 12:39:55,7.776 Mb/s
2025-04-09 12:39:56,8.123 Mb/s
2025-04-09 12:39:57,9.667 Mb/s
2025-04-09 12:39:58,12.263 Mb/s
2025-04-09 12:39:59,10.352 Mb/s
2025-04-09 12:40:00,6.042 Mb/s
2025-04-09 12:40:01,6.207 Mb/s
2025-04-09 12:40:02,951.896 kb/s
2025-04-09 12:40:03,1.260 Mb/s
2025-04-09 12:40:04,1.171 Mb/s
2025-04-09 12:40:05,2.210 Mb/s
2025-04-09 12:40:06,2.456 Mb/s
2025-04-09 12:40:07,2.440 Mb/s
2025-04-09 12:40:08,2.833 Mb/s
2025-04-09 12:40:09,2.963 Mb/s
2025-04-09 12:40:10,4.356 Mb/s
2025-04-09 12:40:11,6.931 Mb/s
2025-04-09 12:40:12,10.119 Mb/s
2025-04-09 12:40:13,13.394 Mb/s
2025-04-09 12:40:14,13.341 Mb/s
2025-04-09 12:40:15,13.155 Mb/s
2025-04-09 12:40:16,17.041 Mb/s
2025-04-09 12:40:17,18.958 Mb/s
2025-04-09 12:40:18,13.541 Mb/s
2025-04-09 12:40:19,16.660 Mb/s
2025-04-09 12:40:20,12.812 Mb/s
2025-04-09 12:40:21,2.035 Mb/s
2025-04-09 12:40:22,2.212 Mb/s
2025-04-09 12:40:23,3.364 Mb/s
2025-04-09 12:40:24,4.708 Mb/s
2025-04-09 12:40:25,6.480 Mb/s
2025-04-09 12:40:26,6.216 Mb/s
2025-04-09 12:40:27,4.326 Mb/s
2025-04-09 12:40:28,1.977 Mb/s
2025-04-09 12:40:29,3.086 Mb/s
2025-04-09 12:40:30,5.734 Mb/s
2025-04-09 12:40:31,8.712 Mb/s
2025-04-09 12:40:32,11.728 Mb/s
2025-04-09 12:40:33,13.664 Mb/s
2025-04-09 12:40:34,8.034 Mb/s
2025-04-09 12:40:35,2.790 Mb/s
2025-04-09 12:40:36,1.149 Mb/s
2025-04-09 12:40:37,1.517 Mb/s
2025-04-09 12:40:38,1.654 Mb/s
2025-04-09 12:40:39,1.024 Mb/s
2025-04-09 12:40:40,165.592 kb/s
2025-04-09 12:40:41,227.248 kb/s
2025-04-09 12:40:42,237.672 kb/s
2025-04-09 12:40:43,235.952 kb/s
2025-04-09 12:40:44,501.248 kb/s
2025-04-09 12:40:45,2.414 Mb/s
2025-04-09 12:40:46,2.790 Mb/s
2025-04-09 12:40:47,1.175 Mb/s
2025-04-09 12:40:48,1.769 Mb/s
2025-04-09 12:40:49,3.930 Mb/s
