"Time","ul_brate {pci=""1"", rnti=""4606"", testbed=""default""}"
2025-04-09 12:38:05,32.440 kb/s
2025-04-09 12:38:06,210.176 kb/s
2025-04-09 12:38:07,133.392 kb/s
2025-04-09 12:38:08,178.432 kb/s
2025-04-09 12:38:09,217.600 kb/s
2025-04-09 12:38:10,217.600 kb/s
2025-04-09 12:38:11,213.248 kb/s
2025-04-09 12:38:12,213.248 kb/s
2025-04-09 12:38:13,200.192 kb/s
2025-04-09 12:38:14,217.600 kb/s
2025-04-09 12:38:15,217.600 kb/s
2025-04-09 12:38:16,195.840 kb/s
2025-04-09 12:38:17,162.440 kb/s
2025-04-09 12:38:18,188.552 kb/s
2025-04-09 12:38:19,161.024 kb/s
2025-04-09 12:38:20,147.968 kb/s
2025-04-09 12:38:21,108.800 kb/s
2025-04-09 12:38:22,113.152 kb/s
2025-04-09 12:38:23,95.744 kb/s
2025-04-09 12:38:24,217.600 kb/s
2025-04-09 12:38:25,217.600 kb/s
2025-04-09 12:38:26,217.600 kb/s
2025-04-09 12:38:27,217.600 kb/s
2025-04-09 12:38:28,214.664 kb/s
2025-04-09 12:38:29,197.256 kb/s
2025-04-09 12:38:30,172.560 kb/s
2025-04-09 12:38:31,217.600 kb/s
2025-04-09 12:38:32,217.600 kb/s
2025-04-09 12:38:33,217.600 kb/s
2025-04-09 12:38:34,149.384 kb/s
2025-04-09 12:38:35,208.896 kb/s
2025-04-09 12:38:36,182.784 kb/s
2025-04-09 12:38:37,174.080 kb/s
2025-04-09 12:38:38,200.192 kb/s
2025-04-09 12:38:39,217.600 kb/s
2025-04-09 12:38:40,217.600 kb/s
2025-04-09 12:38:41,217.600 kb/s
2025-04-09 12:38:42,217.600 kb/s
2025-04-09 12:38:43,217.600 kb/s
2025-04-09 12:38:44,217.600 kb/s
2025-04-09 12:38:45,217.600 kb/s
2025-04-09 12:38:46,217.600 kb/s
2025-04-09 12:38:47,217.600 kb/s
2025-04-09 12:38:48,217.600 kb/s
2025-04-09 12:38:49,217.600 kb/s
2025-04-09 12:38:50,187.136 kb/s
2025-04-09 12:38:51,73.984 kb/s
2025-04-09 12:38:52,171.144 kb/s
