"Time","ul_brate {pci=""1"", rnti=""4601"", testbed=""default""}"
2025-04-09 13:14:57,217.600 kb/s
2025-04-09 13:14:58,217.600 kb/s
2025-04-09 13:14:59,208.896 kb/s
2025-04-09 13:15:00,217.600 kb/s
2025-04-09 13:15:01,213.248 kb/s
2025-04-09 13:15:02,217.600 kb/s
2025-04-09 13:15:03,213.248 kb/s
2025-04-09 13:15:04,217.600 kb/s
2025-04-09 13:15:05,217.600 kb/s
2025-04-09 13:15:06,182.784 kb/s
2025-04-09 13:15:07,217.600 kb/s
2025-04-09 13:15:08,217.600 kb/s
2025-04-09 13:15:09,217.600 kb/s
2025-04-09 13:15:10,217.600 kb/s
2025-04-09 13:15:11,213.248 kb/s
2025-04-09 13:15:12,169.728 kb/s
2025-04-09 13:15:13,200.192 kb/s
2025-04-09 13:15:14,200.192 kb/s
2025-04-09 13:15:15,217.600 kb/s
2025-04-09 13:15:16,217.600 kb/s
2025-04-09 13:15:17,200.192 kb/s
2025-04-09 13:15:18,217.600 kb/s
2025-04-09 13:15:19,217.600 kb/s
2025-04-09 13:15:20,217.600 kb/s
2025-04-09 13:15:21,204.544 kb/s
2025-04-09 13:15:22,217.600 kb/s
2025-04-09 13:15:23,217.600 kb/s
2025-04-09 13:15:24,213.248 kb/s
2025-04-09 13:15:25,217.600 kb/s
2025-04-09 13:15:26,217.600 kb/s
2025-04-09 13:15:27,217.600 kb/s
2025-04-09 13:15:28,204.544 kb/s
2025-04-09 13:15:29,217.600 kb/s
2025-04-09 13:15:30,217.600 kb/s
2025-04-09 13:15:31,195.840 kb/s
2025-04-09 13:15:32,217.600 kb/s
2025-04-09 13:15:33,217.600 kb/s
2025-04-09 13:15:34,217.600 kb/s
2025-04-09 13:15:35,217.600 kb/s
2025-04-09 13:15:36,204.544 kb/s
2025-04-09 13:15:37,217.600 kb/s
2025-04-09 13:15:38,217.600 kb/s
2025-04-09 13:15:39,217.600 kb/s
2025-04-09 13:15:40,217.600 kb/s
2025-04-09 13:15:41,208.896 kb/s
2025-04-09 13:15:42,208.896 kb/s
2025-04-09 13:15:43,217.600 kb/s
2025-04-09 13:15:44,217.600 kb/s
2025-04-09 13:15:45,217.600 kb/s
2025-04-09 13:15:46,217.600 kb/s
2025-04-09 13:15:47,217.600 kb/s
