"Time","ul_brate {pci=""1"", rnti=""4601"", testbed=""default""}"
2025-05-07 14:03:25,217.600 kb/s
2025-05-07 14:03:26,217.600 kb/s
2025-05-07 14:03:27,217.600 kb/s
2025-05-07 14:03:28,217.600 kb/s
2025-05-07 14:03:29,217.600 kb/s
2025-05-07 14:03:30,217.600 kb/s
2025-05-07 14:03:31,208.256 kb/s
2025-05-07 14:03:32,217.600 kb/s
2025-05-07 14:03:33,217.600 kb/s
2025-05-07 14:03:34,217.600 kb/s
2025-05-07 14:03:35,217.600 kb/s
2025-05-07 14:03:36,213.248 kb/s
2025-05-07 14:03:37,217.600 kb/s
2025-05-07 14:03:38,217.600 kb/s
2025-05-07 14:03:39,217.600 kb/s
2025-05-07 14:03:40,213.248 kb/s
2025-05-07 14:03:41,217.600 kb/s
2025-05-07 14:03:42,217.600 kb/s
2025-05-07 14:03:43,217.600 kb/s
2025-05-07 14:03:44,217.600 kb/s
2025-05-07 14:03:45,217.600 kb/s
2025-05-07 14:03:46,217.600 kb/s
2025-05-07 14:03:47,213.248 kb/s
2025-05-07 14:03:48,217.600 kb/s
2025-05-07 14:03:49,217.600 kb/s
2025-05-07 14:03:50,213.248 kb/s
2025-05-07 14:03:51,217.600 kb/s
2025-05-07 14:03:52,217.600 kb/s
2025-05-07 14:03:53,217.600 kb/s
2025-05-07 14:03:54,217.600 kb/s
2025-05-07 14:03:55,217.600 kb/s
2025-05-07 14:03:56,217.600 kb/s
2025-05-07 14:03:57,217.600 kb/s
2025-05-07 14:03:58,213.248 kb/s
2025-05-07 14:03:59,217.600 kb/s
2025-05-07 14:04:00,217.600 kb/s
2025-05-07 14:04:01,217.600 kb/s
2025-05-07 14:04:02,217.600 kb/s
2025-05-07 14:04:03,217.600 kb/s
2025-05-07 14:04:04,217.600 kb/s
2025-05-07 14:04:05,217.600 kb/s
2025-05-07 14:04:06,217.600 kb/s
2025-05-07 14:04:07,217.600 kb/s
2025-05-07 14:04:08,217.600 kb/s
2025-05-07 14:04:09,213.248 kb/s
2025-05-07 14:04:10,217.600 kb/s
2025-05-07 14:04:11,217.600 kb/s
2025-05-07 14:04:12,217.600 kb/s
2025-05-07 14:04:13,217.344 kb/s
2025-05-07 14:04:14,213.248 kb/s
2025-05-07 14:04:15,217.600 kb/s
2025-05-07 14:04:16,217.600 kb/s
2025-05-07 14:04:17,217.600 kb/s
2025-05-07 14:04:18,213.248 kb/s
2025-05-07 14:04:19,217.600 kb/s
2025-05-07 14:04:20,217.600 kb/s
2025-05-07 14:04:21,213.248 kb/s
2025-05-07 14:04:22,217.600 kb/s
2025-05-07 14:04:23,217.600 kb/s
2025-05-07 14:04:24,213.248 kb/s
2025-05-07 14:04:25,217.600 kb/s
2025-05-07 14:04:26,217.600 kb/s
2025-05-07 14:04:27,217.600 kb/s
2025-05-07 14:04:28,217.600 kb/s
2025-05-07 14:04:29,217.600 kb/s
2025-05-07 14:04:30,217.600 kb/s
2025-05-07 14:04:31,217.600 kb/s
2025-05-07 14:04:32,213.248 kb/s
2025-05-07 14:04:33,217.600 kb/s
2025-05-07 14:04:34,217.600 kb/s
2025-05-07 14:04:35,208.896 kb/s
2025-05-07 14:04:36,217.472 kb/s
2025-05-07 14:04:37,213.248 kb/s
2025-05-07 14:04:38,213.248 kb/s
2025-05-07 14:04:39,217.600 kb/s
2025-05-07 14:04:40,213.248 kb/s
2025-05-07 14:04:41,217.600 kb/s
2025-05-07 14:04:42,213.248 kb/s
2025-05-07 14:04:43,217.600 kb/s
2025-05-07 14:04:44,217.600 kb/s
2025-05-07 14:04:45,217.600 kb/s
2025-05-07 14:04:46,213.248 kb/s
2025-05-07 14:04:47,217.600 kb/s
2025-05-07 14:04:48,217.600 kb/s
2025-05-07 14:04:49,217.728 kb/s
2025-05-07 14:04:50,217.600 kb/s
2025-05-07 14:04:51,217.600 kb/s
2025-05-07 14:04:52,217.600 kb/s
2025-05-07 14:04:53,212.992 kb/s
2025-05-07 14:04:54,203.648 kb/s
2025-05-07 14:04:55,217.600 kb/s
2025-05-07 14:04:56,217.600 kb/s
2025-05-07 14:04:57,217.600 kb/s
2025-05-07 14:04:58,217.600 kb/s
2025-05-07 14:04:59,217.600 kb/s
2025-05-07 14:05:00,213.248 kb/s
2025-05-07 14:05:01,213.248 kb/s
2025-05-07 14:05:02,217.600 kb/s
2025-05-07 14:05:03,217.600 kb/s
2025-05-07 14:05:04,213.248 kb/s
